Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
11,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,11,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Tue,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,10,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Tue,Sexual Assault and Related Offences,781200.0,Aggravated Sexual Assault,Manukau Central.,10,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
11,Tue,Sexual Assault and Related Offences,781200.0,Aggravated Sexual Assault,Manukau Central.,11,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
19,Fri,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,19,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
15,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,15,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
15,Wed,Theft and Related Offences,781200.0,Illegal Use of a Motor Vehicle,Manukau Central.,15,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
16,Wed,Theft and Related Offences,781200.0,Theft of Motor Vehicle Parts or Contents,Manukau Central.,16,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
0,Fri,Theft and Related Offences,781200.0,Theft of Motor Vehicle Parts or Contents,Manukau Central.,0,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Sun,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
13,Sun,Theft and Related Offences,781200.0,Theft From Retail Premises,Manukau Central.,13,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Mon,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Tue,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,10,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
8,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,8,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
14,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,14,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
12,Thu,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,12,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
12,Mon,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,12,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
14,Mon,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,14,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
6,Mon,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,6,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
15,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",781200.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Manukau Central.,15,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
7,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Not Resulting in Injury,Manukau Central.,7,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Wed,Theft and Related Offences,781200.0,"Theft (Except Motor Vehicles), N.E.C.",Manukau Central.,10,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
1,Fri,"Unlawful Entry With Intent/Burglary, Break and Enter",781200.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Manukau Central.,1,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
10,Fri,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,10,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
9,Mon,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,9,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
13,Sat,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,13,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
11,Thu,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,11,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
7,Thu,Acts Intended to Cause Injury,781200.0,Serious Assault Not Resulting in Injury,Manukau Central.,7,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
13,Tue,Acts Intended to Cause Injury,781200.0,Serious Assault Not Resulting in Injury,Manukau Central.,13,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
0,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Not Resulting in Injury,Manukau Central.,0,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
12,Wed,Acts Intended to Cause Injury,781200.0,Serious Assault Resulting in Injury,Manukau Central.,12,Auckland Region,Auckland.,1/12/2022,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
20,Fri,Acts Intended to Cause Injury,781200.0,Common Assault,Manukau Central.,20,Auckland Region,Auckland.,1/01/2023,781200.0,Auckland Region,Auckland,1,1,-37.01250711,174.8465444
12,Mon,Sexual Assault and Related Offences,382200.0,Aggravated Sexual Assault,Roberton.,12,Auckland Region,Auckland.,1/12/2022,382200.0,Auckland Region,Auckland,1,1,-36.89386457,174.6990934
20,Sat,Acts Intended to Cause Injury,382200.0,Serious Assault Not Resulting in Injury,Roberton.,20,Auckland Region,Auckland.,1/01/2023,382200.0,Auckland Region,Auckland,1,1,-36.89386457,174.6990934
2,Fri,"Robbery, Extortion and Related Offences",434802.0,Aggravated Robbery,Auckland Central West.,2,Auckland Region,Auckland.,1/12/2022,434802.0,Auckland Region,Auckland,1,1,-36.85382324,174.7591066
16,Sun,Theft and Related Offences,434802.0,"Theft (Except Motor Vehicles), N.E.C.",Auckland Central West.,16,Auckland Region,Auckland.,1/01/2023,434802.0,Auckland Region,Auckland,1,1,-36.85382324,174.7591066
10,Fri,Theft and Related Offences,434802.0,"Theft (Except Motor Vehicles), N.E.C.",Auckland Central West.,10,Auckland Region,Auckland.,1/01/2023,434802.0,Auckland Region,Auckland,1,1,-36.85382324,174.7591066
16,Fri,Acts Intended to Cause Injury,434802.0,Common Assault,Auckland Central West.,16,Auckland Region,Auckland.,1/01/2023,434802.0,Auckland Region,Auckland,1,1,-36.85382324,174.7591066
16,Fri,Theft and Related Offences,434802.0,Theft From Retail Premises,Auckland Central West.,16,Auckland Region,Auckland.,1/01/2023,434802.0,Auckland Region,Auckland,2,2,-36.85382324,174.7591066
17,Tue,Theft and Related Offences,434802.0,Illegal Use of a Motor Vehicle,Auckland Central West.,17,Auckland Region,Auckland.,1/01/2023,434802.0,Auckland Region,Auckland,1,1,-36.85382324,174.7591066
14,Wed,Acts Intended to Cause Injury,266000.0,Serious Assault Resulting in Injury,Lynnmall.,14,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
10,Wed,"Robbery, Extortion and Related Offences",266000.0,Aggravated Robbery,Lynnmall.,10,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
20,Wed,"Robbery, Extortion and Related Offences",266000.0,Aggravated Robbery,Lynnmall.,20,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Wed,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Wed,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,15,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Mon,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,13,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Mon,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
23,Fri,"Robbery, Extortion and Related Offences",266000.0,Aggravated Robbery,Lynnmall.,23,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
21,Fri,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,21,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
11,Mon,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,11,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Wed,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,16,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
12,Mon,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,12,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
18,Sun,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,18,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
19,Sun,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,19,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
10,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,10,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
11,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,11,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Mon,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,16,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,16,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
20,Fri,Sexual Assault and Related Offences,266000.0,Aggravated Sexual Assault,Lynnmall.,20,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
8,Sun,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,8,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
12,Sun,Sexual Assault and Related Offences,266000.0,Non-Aggravated Sexual Assault,Lynnmall.,12,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
15,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
17,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,3,3,-36.90844118,174.6836551
14,Fri,Acts Intended to Cause Injury,266000.0,Serious Assault Resulting in Injury,Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Fri,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,15,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,16,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
22,Sun,Acts Intended to Cause Injury,266000.0,Common Assault,Lynnmall.,22,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
11,Sun,Acts Intended to Cause Injury,266000.0,Serious Assault Not Resulting in Injury,Lynnmall.,11,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
19,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,19,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
12,Fri,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,12,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
19,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,19,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
10,Fri,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,10,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Thu,Acts Intended to Cause Injury,266000.0,Common Assault,Lynnmall.,14,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
14,Fri,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
20,Sun,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,20,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
20,Fri,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,20,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Sat,Theft and Related Offences,266000.0,Illegal Use of Property (Except Motor Vehicles),Lynnmall.,13,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Sat,Theft and Related Offences,266000.0,Illegal Use of a Motor Vehicle,Lynnmall.,16,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
18,Sat,Theft and Related Offences,266000.0,Illegal Use of Property (Except Motor Vehicles),Lynnmall.,18,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
18,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,18,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
23,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,23,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
11,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,11,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
11,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,11,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,16,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
13,Thu,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,13,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Fri,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,16,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
11,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,11,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
12,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,12,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,13,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
12,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,12,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
10,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,10,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
11,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,11,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,13,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,13,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
12,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,12,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
15,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
18,Sat,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,18,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
18,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,18,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
18,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,18,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
20,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,20,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
21,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,21,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
19,Thu,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,19,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
19,Mon,Theft and Related Offences,266000.0,"Theft (Except Motor Vehicles), N.E.C.",Lynnmall.,19,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,13,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
10,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,10,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
16,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,16,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
13,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,13,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
14,Tue,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
20,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",266000.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Lynnmall.,20,Auckland Region,Auckland.,1/01/2023,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
14,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,14,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
15,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,15,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
21,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,21,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
18,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,18,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,2,2,-36.90844118,174.6836551
17,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,17,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
19,Wed,Theft and Related Offences,266000.0,Theft From Retail Premises,Lynnmall.,19,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
0,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",266000.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Lynnmall.,0,Auckland Region,Auckland.,1/12/2022,266000.0,Auckland Region,Auckland,1,1,-36.90844118,174.6836551
17,Mon,Sexual Assault and Related Offences,780204.0,Non-Aggravated Sexual Assault,Manukau Central.,17,Auckland Region,Auckland.,1/01/2023,780204.0,Auckland Region,Auckland,1,1,-36.99207534,174.8805324
14,Fri,Acts Intended to Cause Injury,780204.0,Serious Assault Not Resulting in Injury,Manukau Central.,14,Auckland Region,Auckland.,1/01/2023,780204.0,Auckland Region,Auckland,1,1,-36.99207534,174.8805324
11,Mon,Theft and Related Offences,780204.0,Theft From Retail Premises,Manukau Central.,11,Auckland Region,Auckland.,1/12/2022,780204.0,Auckland Region,Auckland,1,1,-36.99207534,174.8805324
0,Wed,Theft and Related Offences,780204.0,Illegal Use of a Motor Vehicle,Manukau Central.,0,Auckland Region,Auckland.,1/12/2022,780204.0,Auckland Region,Auckland,1,1,-36.99207534,174.8805324
18,Wed,Theft and Related Offences,780204.0,Illegal Use of a Motor Vehicle,Manukau Central.,18,Auckland Region,Auckland.,1/01/2023,780204.0,Auckland Region,Auckland,1,1,-36.99207534,174.8805324
