Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
15,Sat,Theft and Related Offences,459200.0,Theft of Motor Vehicle Parts or Contents,Meadowbank North.,15,Auckland Region,Auckland.,1/01/2023,459200.0,Auckland Region,Auckland,1,1,-36.87023682,174.8209132
16,Sat,Theft and Related Offences,655701.0,Theft of Motor Vehicle Parts or Contents,Mangere East.,16,Auckland Region,Auckland.,1/01/2023,655701.0,Auckland Region,Auckland,1,1,-36.97359628,174.8382247
15,Wed,Acts Intended to Cause Injury,473100.0,Common Assault,Glen Innes East.,15,Auckland Region,Auckland.,1/12/2022,473100.0,Auckland Region,Auckland,1,1,-36.87460054,174.8706998
16,Sat,Theft and Related Offences,620600.0,Theft of Motor Vehicle Parts or Contents,Penrose.,16,Auckland Region,Auckland.,1/01/2023,620600.0,Auckland Region,Auckland,1,1,-36.90765852,174.8064944
16,Wed,Acts Intended to Cause Injury,696600.0,Common Assault,Wymondley.,16,Auckland Region,Auckland.,1/12/2022,696600.0,Auckland Region,Auckland,1,1,-36.95695773,174.860518
17,Wed,Acts Intended to Cause Injury,279101.0,Common Assault,Otimai.,17,Auckland Region,Auckland.,1/12/2022,279101.0,Auckland Region,Auckland,1,1,-36.92668046,174.5844413
21,Sat,Theft and Related Offences,781600.0,Theft of Motor Vehicle Parts or Contents,Otahuhu West.,21,Auckland Region,Auckland.,1/01/2023,781600.0,Auckland Region,Auckland,1,1,-36.93640369,174.841041
20,Wed,Acts Intended to Cause Injury,735500.0,Common Assault,Harania West.,20,Auckland Region,Auckland.,1/12/2022,735500.0,Auckland Region,Auckland,1,1,-36.96574995,174.8113008
19,Thu,"Unlawful Entry With Intent/Burglary, Break and Enter",735500.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Harania West.,19,Auckland Region,Auckland.,1/12/2022,735500.0,Auckland Region,Auckland,1,1,-36.96574995,174.8113008
14,Thu,Theft and Related Offences,767204.0,Illegal Use of a Motor Vehicle,Takanini North.,14,Auckland Region,Auckland.,1/01/2023,767204.0,Auckland Region,Auckland,1,1,-37.03110874,174.9409117
22,Sat,Theft and Related Offences,612400.0,Theft of Motor Vehicle Parts or Contents,Ellerslie South.,22,Auckland Region,Auckland.,1/01/2023,612400.0,Auckland Region,Auckland,1,1,-36.90904739,174.8176185
4,Tue,"Unlawful Entry With Intent/Burglary, Break and Enter",612400.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Ellerslie South.,4,Auckland Region,Auckland.,1/01/2023,612400.0,Auckland Region,Auckland,1,1,-36.90904739,174.8176185
20,Thu,Theft and Related Offences,759713.0,Theft of Motor Vehicle Parts or Contents,Hyperion.,20,Auckland Region,Auckland.,1/12/2022,759713.0,Auckland Region,Auckland,1,1,-37.02782445,174.913701
4,Sun,Theft and Related Offences,759713.0,"Theft (Except Motor Vehicles), N.E.C.",Hyperion.,4,Auckland Region,Auckland.,1/01/2023,759713.0,Auckland Region,Auckland,1,1,-37.02782445,174.913701
