Hour,Occurrence Day Of Week,Incidents,Area Unit,Date,Number of Victimisations,Latitude,Longitude,Severity Score
5:00 am,Thu,Burglary,Millhouse,2022-12-01,1,-36.92537089,174.9155735,6.372265856470259
1:00 am,Thu,Burglary,Leabank,2022-12-01,1,-37.03395388,174.896876,6.420853220135679
5:00 pm,Thu,Theft,Henderson North,2022-12-01,1,-36.88416018,174.6444192,1.388698909323364
7:00 pm,Thu,Theft,Target Road,2022-12-01,1,-36.76748455,174.7385259,1.2915241819925227
2:00 pm,Thu,Battery,Weymouth East,2022-12-01,1,-37.03902937,174.8703899,6.760964765793623
3:00 am,Thu,Burglary,Takanini West,2022-12-01,1,-37.04379974,174.9076591,6.652145260746056
10:00 am,Thu,Burglary,New Lynn South,2022-12-01,1,-36.90547578,174.6704215,6.615202674797361
5:00 pm,Thu,Burglary,Homai East,2022-12-01,1,-37.01562165,174.8759536,6.760964765793623
1:00 pm,Thu,Theft,Takanini West,2022-12-01,1,-37.0458735,174.9209287,1.6685783135991612
12:00 pm,Thu,Burglary,Homai West,2022-12-01,1,-37.01910397,174.8780218,6.809552129459043
3:00 pm,Thu,Theft,Papakura North,2022-12-01,1,-37.06004693,174.9416347,1.388698909323364
9:00 pm,Thu,Battery,Waima,2022-12-01,1,-36.9450364,174.628246,6.51802794746652
4:00 am,Thu,Battery,Grafton East,2022-12-01,1,-36.85906957,174.7702502,6.372265856470259
11:00 am,Thu,Burglary,Onehunga South West,2022-12-01,1,-36.91760282,174.7751443,6.663790038462781
6:00 pm,Thu,Theft,Millhouse,2022-12-01,1,-36.91523741,174.9229611,1.2915241819925227
1:00 pm,Thu,Theft,Hatfields Beach,2022-12-01,1,-36.57451595,174.68793,1.388698909323364
3:00 pm,Thu,Theft,Silverdale South,2022-12-01,1,-36.63537335,174.7019225,1.388698909323364
11:00 am,Thu,Theft,Newmarket,2022-12-01,1,-36.86801922,174.7744191,1.57140358626832
12:00 pm,Thu,Theft,Epsom North,2022-12-01,1,-36.8726555,174.7756962,1.4372862729887843
4:00 pm,Thu,Theft,North Harbour East,2022-12-01,1,-36.75108041,174.6999327,1.388698909323364
4:00 pm,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84828715,174.7644706,3.9076135478055383
6:00 am,Thu,Battery,Clendon South,2022-12-01,1,-37.03007722,174.8655385,6.372265856470259
1:00 pm,Thu,Theft,Takanini South,2022-12-01,1,-37.04898689,174.9294623,1.6685783135991612
5:00 am,Thu,Burglary,Donegal Park,2022-12-01,1,-36.98005935,174.9040529,6.372265856470259
9:00 pm,Thu,Theft,Rowandale,2022-12-01,1,-37.02615747,174.8703537,1.1457620909962616
1:00 pm,Thu,Theft,Henderson South,2022-12-01,2,-36.88250124,174.6319525,1.9484577178749585
11:00 am,Thu,Theft,Henderson South,2022-12-01,1,-36.88250124,174.6319525,1.8512829905441173
11:00 am,Thu,Theft,One Tree Hill Central,2022-12-01,1,-36.89042175,174.7832928,1.2915241819925227
10:00 am,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84716543,174.7648967,3.7618514568092767
10:00 pm,Thu,Theft,Te Atatu Central,2022-12-01,1,-36.84302455,174.6544034,1.097174727330841
6:00 pm,Thu,Theft,Ellerslie South,2022-12-01,1,-36.89642477,174.8027213,1.2915241819925227
2:00 pm,Thu,Burglary,Half Moon Bay,2022-12-01,1,-36.88670788,174.8955362,6.760964765793623
11:00 am,Thu,Theft,Point Chevalier East,2022-12-01,1,-36.86854132,174.7123863,1.57140358626832
9:00 pm,Thu,Burglary,Glen Eden East,2022-12-01,1,-36.90436058,174.6569524,6.51802794746652
10:00 pm,Thu,Theft,Remuera South,2022-12-01,1,-36.88966493,174.7940333,1.097174727330841
6:00 pm,Thu,Burglary,Glen Innes West,2022-12-01,1,-36.87114047,174.8566297,6.663790038462781
9:00 am,Thu,Theft,Mangere Bridge,2022-12-01,1,-36.95211019,174.7923311,1.1457620909962616
8:00 pm,Thu,Theft,Remuera South,2022-12-01,1,-36.88966493,174.7940333,1.194349454661682
2:00 pm,Thu,Burglary,Titirangi South,2022-12-01,1,-36.93738188,174.660063,6.760964765793623
6:00 pm,Thu,Theft,Henderson South,2022-12-01,1,-36.89345834,174.6252521,1.8512829905441173
1:00 pm,Thu,Theft,Takanini South,2022-12-01,2,-37.04898689,174.9294623,1.6685783135991612
7:00 pm,Thu,Theft,Mt Eden North,2022-12-01,1,-36.87130272,174.7548746,1.2915241819925227
4:00 pm,Thu,Battery,Glenfield Central,2022-12-01,1,-36.78255279,174.722369,6.760964765793623
5:00 pm,Thu,Theft,Balmoral,2022-12-01,1,-36.87698856,174.7515977,1.6685783135991612
6:00 pm,Thu,Theft,Manukau Central,2022-12-01,1,-36.99121216,174.8743641,2.1311623948199143
8:00 pm,Thu,Battery,Hingaia,2022-12-01,2,-37.06581128,174.9166922,6.56661531113194
2:00 pm,Thu,Theft,Mt Wellington South,2022-12-01,1,-36.91659477,174.8418528,1.9484577178749585
9:00 pm,Thu,Theft,Pukekohe North,2022-12-01,1,-37.19919774,174.9023929,1.7055208995478557
9:00 am,Thu,Theft,Mangere South,2022-12-01,1,-37.0081395,174.800377,1.4256414952720586
8:00 pm,Thu,Battery,Wiri,2022-12-01,1,-37.00817765,174.882576,6.56661531113194
2:00 pm,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84828715,174.7644706,3.9076135478055383
4:00 pm,Thu,Theft,Howick Central,2022-12-01,1,-36.90396142,174.9250853,1.388698909323364
6:00 pm,Thu,Battery,Henderson South,2022-12-01,1,-36.87882638,174.6243962,7.223548847014375
2:00 pm,Thu,Theft,Clevedon,2022-12-01,1,-36.99609743,175.0453985,1.388698909323364
12:00 pm,Thu,Theft,Sandringham North,2022-12-01,1,-36.88277881,174.733734,1.7171656772645816
9:00 am,Thu,Theft,Takanini West,2022-12-01,1,-37.03993521,174.9030792,1.4256414952720586
8:00 pm,Thu,Battery,Campbells Bay,2022-12-01,1,-36.75116544,174.7534556,6.56661531113194
5:00 pm,Thu,Theft,Lynnmall,2022-12-01,1,-36.90552253,174.6914973,1.9484577178749585
3:00 pm,Thu,Sexual Assault,Springleigh,2022-12-01,1,-36.886074,174.7130673,7.432497997852405
5:00 pm,Thu,Theft,Takanini West,2022-12-01,1,-37.03993521,174.9030792,1.6685783135991612
8:00 pm,Thu,Theft,Wade Heads,2022-12-01,1,-36.63646204,174.7463642,1.194349454661682
5:00 pm,Thu,Theft,Takanini North,2022-12-01,1,-37.03784145,174.9144793,1.388698909323364
6:00 pm,Thu,Battery,Sunnynook,2022-12-01,1,-36.75668806,174.7387611,6.663790038462781
8:00 pm,Thu,Battery,Homai East,2022-12-01,1,-37.02677202,174.8856254,6.56661531113194
1:00 pm,Thu,Robbery,Takanini North,2022-12-01,1,-37.03784145,174.9144793,7.432497997852405
12:00 pm,Thu,Theft,Waiheke Island,2022-12-01,2,-36.78238286,175.0128523,1.4372862729887843
12:00 pm,Thu,Battery,Manukau Central,2022-12-01,1,-36.99207534,174.8805324,7.649190342286435
9:00 am,Thu,Theft,Green Bay,2022-12-01,1,-36.93139525,174.6787521,1.1457620909962616
3:00 pm,Thu,Battery,Orakei North,2022-12-01,1,-36.84785179,174.8200488,6.760964765793623
1:00 pm,Thu,Theft,Pukekohe North,2022-12-01,1,-37.19919774,174.9023929,1.9484577178749585
7:00 pm,Thu,Theft,Orewa,2022-12-01,1,-36.58977247,174.69753,1.2915241819925227
3:00 am,Thu,Burglary,Glenavon,2022-12-01,1,-36.90688239,174.7030941,6.372265856470259
6:00 pm,Thu,Battery,Auckland Central West,2022-12-01,2,-36.8514429,174.7566711,9.182704676944955
9:00 pm,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84965444,174.7645458,3.664676729478436
7:00 pm,Thu,Theft,Sturges North,2022-12-01,1,-36.86768278,174.6137353,1.2915241819925227
8:00 pm,Thu,Theft,Hyperion,2022-12-01,1,-37.02782445,174.913701,1.194349454661682
4:00 pm,Thu,Theft,Henderson North,2022-12-01,1,-36.87611923,174.6334762,1.388698909323364
11:00 pm,Thu,Battery,Howick Central,2022-12-01,1,-36.89327287,174.9282542,6.420853220135679
2:00 pm,Thu,Theft,Onehunga South East,2022-12-01,1,-36.92264027,174.7837445,1.388698909323364
5:00 pm,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84965444,174.7645458,3.9076135478055383
10:00 am,Thu,Theft,Manukau Central,2022-12-01,1,-36.99207534,174.8805324,2.082575031154494
12:00 pm,Thu,Theft,Lynnmall,2022-12-01,1,-36.90844118,174.6836551,1.9970450815403789
1:00 pm,Thu,Theft,Silverdale Central,2022-12-01,1,-36.63642339,174.6678234,1.388698909323364
3:00 pm,Thu,Theft,Lynnmall,2022-12-01,1,-36.90844118,174.6836551,1.9484577178749585
6:00 pm,Thu,Theft,Lynnmall,2022-12-01,1,-36.90844118,174.6836551,1.8512829905441173
5:00 pm,Thu,Theft,Auckland Central West,2022-12-01,1,-36.85695662,174.7610484,3.9076135478055383
11:00 am,Thu,Theft,Glenfield Central,2022-12-01,2,-36.78255279,174.722369,1.2915241819925227
11:00 am,Thu,Theft,Auckland Central East,2022-12-01,1,-36.85030795,174.7741096,1.8512829905441173
8:00 pm,Thu,Battery,Newton,2022-12-01,1,-36.85877713,174.7598178,6.56661531113194
11:00 pm,Thu,Theft,Auckland Central East,2022-12-01,1,-36.84847122,174.7674245,1.608346172217015
6:00 pm,Thu,Theft,Glen Eden East,2022-12-01,1,-36.90736365,174.6613756,1.2915241819925227
10:00 am,Thu,Theft,Green Bay,2022-12-01,1,-36.93371945,174.6721015,1.2429368183271023
3:00 pm,Thu,Theft,Westgate,2022-12-01,1,-36.82213675,174.6122369,1.388698909323364
3:00 am,Thu,Burglary,Waterview,2022-12-01,1,-36.88248186,174.7000791,6.372265856470259
5:00 pm,Thu,Theft,Auckland Central East,2022-12-01,1,-36.84812826,174.7727133,1.9484577178749585
12:00 pm,Thu,Theft,Bombay,2022-12-01,1,-37.18705979,174.9772089,1.4372862729887843
10:00 pm,Thu,Burglary,Roberton,2022-12-01,1,-36.89527971,174.699868,6.4694405838010995
10:00 am,Thu,Burglary,Rothesay Bay,2022-12-01,1,-36.72905754,174.733183,6.615202674797361
10:00 am,Thu,Theft,Leabank,2022-12-01,2,-37.02682408,174.891256,1.2429368183271023
8:00 pm,Thu,Battery,Pukekohe West,2022-12-01,1,-37.20053394,174.8830903,6.56661531113194
2:00 pm,Thu,Theft,Manukau Central,2022-12-01,1,-37.00773558,174.8613954,2.2283371221507555
2:00 pm,Thu,Burglary,Kauri Park,2022-12-01,1,-36.81099863,174.724592,6.760964765793623
6:00 pm,Thu,Theft,Rongomai,2022-12-01,2,-36.95929132,174.8950888,1.57140358626832
1:00 pm,Thu,Theft,Rongomai,2022-12-01,1,-36.95929132,174.8950888,1.6685783135991612
5:00 pm,Thu,Theft,Kauri Park,2022-12-01,1,-36.81099863,174.724592,1.388698909323364
4:00 pm,Thu,Theft,Papakura North East,2022-12-01,1,-37.05252199,174.9596128,1.388698909323364
6:00 am,Thu,Theft,Papakura Central,2022-12-01,1,-37.06420019,174.9442681,1.279879404275797
4:00 pm,Thu,Sexual Assault,Kumeu East,2022-12-01,1,-36.77196547,174.6010193,7.432497997852405
12:00 am,Thu,Theft,McLaren Park,2022-12-01,1,-36.89554496,174.6182717,1.097174727330841
12:00 pm,Thu,Burglary,Silverdale North,2022-12-01,1,-36.63010556,174.6470324,6.809552129459043
12:00 pm,Thu,Battery,Otahuhu West,2022-12-01,1,-36.93744045,174.8394052,6.809552129459043
3:00 am,Thu,Theft,Fairdene,2022-12-01,1,-36.86601957,174.6314457,1.0
11:00 am,Thu,Battery,Windy Ridge,2022-12-01,1,-36.79668459,174.7200098,6.663790038462781
2:00 am,Thu,Theft,Avondale South,2022-12-01,1,-36.91158602,174.6979553,1.0485873636654204
9:00 am,Thu,Theft,Avondale West,2022-12-01,1,-36.89660939,174.6878896,1.1457620909962616
10:00 pm,Thu,Burglary,Te Papapa,2022-12-01,1,-36.91928997,174.8042451,6.4694405838010995
1:00 pm,Thu,Burglary,Onehunga South East,2022-12-01,1,-36.91915783,174.7861159,6.760964765793623
4:00 am,Thu,Theft,Albany,2022-12-01,1,-36.72826501,174.7083748,1.279879404275797
1:00 pm,Thu,Theft,Albany,2022-12-01,1,-36.72826501,174.7083748,1.6685783135991612
6:00 pm,Thu,Theft,Royal Oak,2022-12-01,1,-36.90998949,174.7745561,1.2915241819925227
1:00 am,Thu,Burglary,Auckland Central East,2022-12-01,1,-36.84993951,174.7741631,6.980612028687273
5:00 am,Thu,Burglary,Greenhithe,2022-12-01,1,-36.76584835,174.7081418,6.372265856470259
8:00 am,Thu,Theft,Clendon South,2022-12-01,1,-37.03189694,174.8657939,1.097174727330841
7:00 am,Thu,Theft,Waterview,2022-12-01,1,-36.87783613,174.6999773,1.0485873636654204
7:00 pm,Thu,Robbery,Mangere Bridge,2022-12-01,1,-36.95216706,174.7899906,7.335323270521563
4:00 pm,Thu,Theft,Auckland Central East,2022-12-01,1,-36.84779712,174.7661685,1.9484577178749585
9:00 am,Thu,Theft,Auckland Central West,2022-12-01,1,-36.8488649,174.7618211,3.664676729478436
4:00 pm,Thu,Burglary,Takapuna Central,2022-12-01,1,-36.77969685,174.7771398,6.760964765793623
4:00 pm,Thu,Robbery,Roberton,2022-12-01,1,-36.89923268,174.698188,7.432497997852405
10:00 am,Thu,Burglary,Papakura South,2022-12-01,1,-37.07741956,174.9669719,6.615202674797361
9:00 pm,Thu,Theft,Papakura Central,2022-12-01,1,-37.06348268,174.9421911,1.4256414952720586
9:00 am,Thu,Burglary,Fairburn,2022-12-01,1,-36.94892824,174.8507506,6.51802794746652
3:00 pm,Thu,Theft,Mt Wellington West,2022-12-01,1,-36.89057961,174.8295634,1.388698909323364
5:00 pm,Thu,Theft,Glendhu,2022-12-01,1,-36.77401016,174.7071639,1.388698909323364
7:00 pm,Thu,Theft,Highbrook,2022-12-01,1,-36.9287516,174.8906098,1.2915241819925227
3:00 pm,Thu,Theft,Auckland Harbourside,2022-12-01,2,-36.84589383,174.7730315,2.2283371221507555
12:00 am,Thu,Theft,Ranui Domain,2022-12-01,1,-36.86347449,174.608211,1.097174727330841
9:00 pm,Thu,Theft,Auckland Harbourside,2022-12-01,3,-36.84589383,174.7730315,1.985400303823653
9:00 am,Thu,Theft,Auckland Harbourside,2022-12-01,1,-36.84589383,174.7730315,1.985400303823653
12:00 pm,Thu,Theft,Newmarket,2022-12-01,1,-36.86594546,174.7799299,1.7171656772645816
12:00 pm,Thu,Theft,Grey Lynn East,2022-12-01,1,-36.85853169,174.749547,1.7171656772645816
7:00 pm,Thu,Theft,Point Chevalier East,2022-12-01,1,-36.86854132,174.7123863,1.57140358626832
3:00 pm,Thu,Theft,Takapuna Central,2022-12-01,1,-36.78913971,174.7753603,1.388698909323364
12:00 pm,Thu,Theft,Auckland Central East,2022-12-01,1,-36.8505014,174.7658817,1.9970450815403789
2:00 pm,Thu,Theft,Sturges North,2022-12-01,1,-36.88846946,174.6053499,1.388698909323364
7:00 pm,Thu,Battery,Auckland Central East,2022-12-01,1,-36.84651619,174.7688472,7.223548847014375
9:00 pm,Thu,Theft,Ellerslie North,2022-12-01,1,-36.89267879,174.8181224,1.1457620909962616
5:00 pm,Thu,Theft,Auckland Central East,2022-12-01,1,-36.8526235,174.7662667,1.9484577178749585
3:00 pm,Thu,Theft,Manly,2022-12-01,1,-36.63044024,174.7634817,1.388698909323364
7:00 am,Thu,Theft,Remuera West,2022-12-01,1,-36.86729654,174.7859968,1.0485873636654204
3:00 pm,Thu,Theft,Elsmore Park,2022-12-01,1,-36.90989197,174.9036202,1.388698909323364
2:00 pm,Thu,Theft,Whenuapai West,2022-12-01,1,-36.81004025,174.6053882,1.6685783135991612
4:00 am,Thu,Theft,Mt Eden East,2022-12-01,1,-36.88457177,174.7635779,1.0
7:00 pm,Thu,Burglary,Kingdale,2022-12-01,1,-36.85707248,174.6270762,6.663790038462781
11:00 am,Thu,Burglary,Auckland Central West,2022-12-01,1,-36.84828715,174.7644706,9.182704676944955
12:00 pm,Thu,Theft,Remuera South,2022-12-01,1,-36.88195062,174.7981034,1.4372862729887843
11:00 am,Thu,Theft,Auckland Central West,2022-12-01,1,-36.84769484,174.7652175,3.810438820474697
6:00 pm,Thu,Battery,Auckland Central West,2022-12-01,1,-36.85730318,174.7580016,9.182704676944955
3:00 pm,Thu,Theft,Takapuna Central,2022-12-01,1,-36.78715695,174.7721798,1.388698909323364
1:00 pm,Thu,Battery,Otara North,2022-12-01,1,-36.95422229,174.8737977,6.760964765793623
4:00 am,Thu,Theft,Otara North,2022-12-01,1,-36.96107057,174.8721519,1.0
11:00 am,Thu,Theft,Rongomai,2022-12-01,1,-36.97569747,174.8962909,1.57140358626832
5:00 pm,Thu,Battery,Westlake,2022-12-01,1,-36.78365879,174.7518171,6.760964765793623
4:00 am,Thu,Theft,Chelsea,2022-12-01,1,-36.81363764,174.7237216,1.0
6:00 pm,Thu,Battery,Kingsland,2022-12-01,1,-36.87390729,174.7415784,6.663790038462781
12:00 pm,Thu,Theft,Balmoral,2022-12-01,1,-36.87698856,174.7515977,1.7171656772645816
1:00 pm,Thu,Theft,Blockhouse Bay,2022-12-01,1,-36.92592048,174.7044306,1.388698909323364
2:00 am,Thu,Battery,Redoubt North,2022-12-01,1,-36.98269959,174.8908184,6.420853220135679
10:00 pm,Thu,Theft,Balmoral,2022-12-01,2,-36.87698856,174.7515977,1.3770541316066383
12:00 pm,Thu,Theft,Puhinui South,2022-12-01,1,-36.98533104,174.8760424,1.7171656772645816
11:00 pm,Thu,Theft,Puhinui South,2022-12-01,1,-36.98533104,174.8760424,1.3284667679412177
10:00 am,Thu,Theft,Fruitvale,2022-12-01,1,-36.91208233,174.6689432,1.2429368183271023
9:00 am,Thu,Theft,Epsom South,2022-12-01,1,-36.89294081,174.7650586,1.1457620909962616
11:00 pm,Thu,Theft,Fruitvale,2022-12-01,1,-36.91324081,174.6762236,1.0485873636654204
6:00 am,Fri,Theft,Albany,2022-12-02,1,-36.72826501,174.7083748,1.279879404275797
1:00 pm,Fri,Burglary,Mt Wellington South,2022-12-02,1,-36.92905958,174.8392744,7.320723574345217
4:00 am,Fri,Burglary,Baverstock Oaks,2022-12-02,1,-36.95233534,174.9111793,6.372265856470259
4:00 am,Fri,Burglary,Westgate,2022-12-02,1,-36.82213675,174.6122369,6.372265856470259
4:00 pm,Fri,Theft,Wiri,2022-12-02,1,-37.00142305,174.876826,1.388698909323364
4:00 pm,Fri,Battery,Fairdene,2022-12-02,1,-36.86328018,174.6249669,6.760964765793623
4:00 pm,Fri,Battery,Papakura North,2022-12-02,1,-37.05531478,174.932864,6.760964765793623
12:00 am,Fri,Theft,Albany,2022-12-02,1,-36.72826501,174.7083748,1.3770541316066383
6:00 pm,Fri,Battery,Bucklands and Eastern Beaches,2022-12-02,1,-36.87245485,174.9119959,6.663790038462781
1:00 pm,Fri,Theft,Hillsborough East,2022-12-02,1,-36.92275297,174.7601084,1.388698909323364
5:00 am,Fri,Theft,Auckland Central West,2022-12-02,1,-36.8488649,174.7618211,3.5189146384821743
11:00 pm,Fri,Theft,Glen Eden East,2022-12-02,1,-36.91120051,174.6524829,1.0485873636654204
5:00 pm,Fri,Theft,Harania West,2022-12-02,1,-36.96626759,174.8244719,1.388698909323364
1:00 pm,Fri,Battery,Mascot,2022-12-02,1,-36.97012359,174.8039001,6.760964765793623
3:00 pm,Fri,Theft,Lynfield South,2022-12-02,1,-36.92507181,174.7225251,1.388698909323364
12:00 am,Fri,Battery,Auckland Harbourside,2022-12-02,1,-36.84290216,174.7631309,7.309078796628491
11:00 pm,Fri,Burglary,Lynnmall,2022-12-02,1,-36.90320174,174.6849858,6.980612028687273
4:00 pm,Fri,Battery,Helensville,2022-12-02,1,-36.67828292,174.4501984,6.760964765793623
7:00 pm,Fri,Theft,Papakura South,2022-12-02,1,-37.07042281,174.954667,1.2915241819925227
1:00 am,Fri,Theft,Hillpark,2022-12-02,1,-37.01012744,174.8920592,1.0485873636654204
4:00 pm,Fri,Theft,Puhinui South,2022-12-02,1,-36.98533104,174.8760424,1.6685783135991612
11:00 pm,Fri,Theft,Balmoral,2022-12-02,1,-36.87698856,174.7515977,1.3284667679412177
4:00 pm,Fri,Battery,Waiheke Island,2022-12-02,1,-36.79891773,175.0444255,6.760964765793623
1:00 am,Fri,Theft,Sherbourne,2022-12-02,1,-36.87460608,174.7607184,1.0485873636654204
12:00 pm,Fri,Theft,Windsor Park,2022-12-02,1,-36.7386582,174.7258422,1.4372862729887843
3:00 pm,Fri,Theft,Mangere Bridge,2022-12-02,1,-36.95414281,174.7882333,1.388698909323364
1:00 pm,Fri,Battery,Greenmount,2022-12-02,1,-36.9542354,174.8991563,7.04084417006942
4:00 pm,Fri,Battery,Parakai Urban,2022-12-02,1,-36.65523889,174.4419611,6.760964765793623
10:00 am,Fri,Theft,Northcross,2022-12-02,1,-36.725717,174.7156645,1.2429368183271023
8:00 am,Fri,Theft,Browns Bay,2022-12-02,1,-36.71777662,174.7445263,1.097174727330841
7:00 am,Fri,Theft,Mt Wellington West,2022-12-02,1,-36.89564144,174.8398806,1.0485873636654204
9:00 am,Fri,Theft,Papakura North,2022-12-02,1,-37.05878393,174.9387655,1.1457620909962616
8:00 am,Fri,Theft,Manly,2022-12-02,1,-36.63360592,174.7526249,1.097174727330841
11:00 am,Fri,Battery,Browns Bay,2022-12-02,1,-36.71124723,174.7410472,6.663790038462781
5:00 am,Fri,Theft,Auckland Harbourside,2022-12-02,1,-36.84267598,174.7761549,1.8396382128273916
11:00 am,Fri,Theft,Arch Hill,2022-12-02,1,-36.8654492,174.7453947,1.2915241819925227
8:00 am,Fri,Burglary,Viscount,2022-12-02,1,-36.96366777,174.7918639,6.4694405838010995
7:00 am,Fri,Theft,Onehunga North East,2022-12-02,1,-36.91377534,174.7894612,1.0485873636654204
7:00 am,Fri,Theft,Konini,2022-12-02,1,-36.93000224,174.6501028,1.0485873636654204
3:00 am,Fri,Burglary,One Tree Hill East,2022-12-02,1,-36.90768126,174.8014082,6.372265856470259
8:00 pm,Fri,Theft,Remuera South,2022-12-02,1,-36.88966493,174.7940333,1.194349454661682
9:00 pm,Fri,Battery,Beaumont,2022-12-02,2,-37.02717362,174.8961946,6.51802794746652
12:00 pm,Fri,Theft,Ormiston,2022-12-02,1,-36.96768755,174.9150477,1.4372862729887843
4:00 pm,Fri,Theft,Warkworth,2022-12-02,1,-36.40559304,174.6595428,1.388698909323364
2:00 pm,Fri,Battery,Onehunga South West,2022-12-02,1,-36.92534054,174.7796035,6.760964765793623
1:00 pm,Fri,Burglary,Weymouth East,2022-12-02,1,-37.04439053,174.8672361,6.760964765793623
7:00 pm,Fri,Battery,Rongomai,2022-12-02,1,-36.97569747,174.8962909,6.943669442738578
12:00 pm,Fri,Theft,Papakura Central,2022-12-02,1,-37.06420019,174.9442681,1.7171656772645816
7:00 pm,Fri,Theft,Wesley,2022-12-02,2,-36.90658087,174.7353651,1.2915241819925227
1:00 pm,Fri,Theft,Totara Heights,2022-12-02,1,-37.01328928,174.9152937,1.388698909323364
3:00 pm,Fri,Burglary,Otara South,2022-12-02,1,-36.97665603,174.8834753,6.760964765793623
4:00 pm,Fri,Theft,Papatoetoe Central,2022-12-02,1,-36.97113232,174.8597817,1.388698909323364
2:00 am,Fri,Battery,Glendene North,2022-12-02,1,-36.88753101,174.6587516,6.420853220135679
8:00 pm,Fri,Theft,Walmsley,2022-12-02,2,-36.90398031,174.725436,1.194349454661682
11:00 am,Fri,Theft,Newmarket,2022-12-02,1,-36.86974642,174.7772228,1.57140358626832
11:00 am,Fri,Theft,Auckland Harbourside,2022-12-02,1,-36.84589383,174.7730315,2.1311623948199143
3:00 pm,Fri,Theft,Newmarket,2022-12-02,1,-36.86974642,174.7772228,1.6685783135991612
11:00 pm,Fri,Battery,Auckland Harbourside,2022-12-02,1,-36.84413774,174.7610097,7.26049143296307
2:00 pm,Fri,Theft,Mt Wellington West,2022-12-02,1,-36.89057961,174.8295634,1.388698909323364
5:00 am,Fri,Theft,Rongomai,2022-12-02,1,-36.97569747,174.8962909,1.279879404275797
2:00 pm,Fri,Theft,Henderson South,2022-12-02,1,-36.88292606,174.6345496,1.9484577178749585
3:00 pm,Fri,Burglary,Target Road,2022-12-02,1,-36.75614968,174.7291488,6.760964765793623
6:00 pm,Fri,Burglary,Wesley,2022-12-02,1,-36.90839876,174.7322809,6.663790038462781
4:00 am,Fri,Theft,Blockhouse Bay,2022-12-02,1,-36.92155554,174.6937593,1.0
7:00 pm,Fri,Theft,Dannemora,2022-12-02,1,-36.93171883,174.9128209,1.2915241819925227
7:00 am,Fri,Theft,Greenmount,2022-12-02,1,-36.93011926,174.9090076,1.3284667679412177
12:00 pm,Fri,Theft,Hobsonville East,2022-12-02,1,-36.79436684,174.6698439,1.4372862729887843
12:00 pm,Fri,Battery,Otara West,2022-12-02,1,-36.94869389,174.8628738,6.809552129459043
3:00 am,Fri,Burglary,Hauraki,2022-12-02,1,-36.79636308,174.7833943,6.372265856470259
8:00 am,Fri,Theft,Auckland Central East,2022-12-02,2,-36.84847122,174.7674245,1.6569335358824353
12:00 pm,Fri,Theft,Otahuhu West,2022-12-02,1,-36.9384705,174.8417732,1.4372862729887843
7:00 am,Fri,Theft,St Lukes,2022-12-02,1,-36.88200675,174.730435,1.0485873636654204
8:00 pm,Fri,Battery,Otahuhu West,2022-12-02,1,-36.94193575,174.8395772,6.56661531113194
12:00 pm,Fri,Theft,Otara North,2022-12-02,1,-36.96107057,174.8721519,1.4372862729887843
9:00 am,Fri,Theft,Highbrook,2022-12-02,1,-36.9287516,174.8906098,1.1457620909962616
10:00 am,Fri,Theft,Bombay,2022-12-02,1,-37.18353225,174.9817249,1.2429368183271023
5:00 pm,Fri,Theft,Point Chevalier East,2022-12-02,1,-36.86854132,174.7123863,1.6685783135991612
9:00 am,Fri,Theft,Mangere Central,2022-12-02,1,-36.96947923,174.7950715,1.1457620909962616
2:00 am,Fri,Theft,Donegal Park,2022-12-02,1,-36.98350266,174.9049336,1.0485873636654204
1:00 pm,Fri,Theft,Mt Wellington North,2022-12-02,1,-36.89926175,174.8463773,1.388698909323364
5:00 am,Fri,Burglary,Penrose,2022-12-02,1,-36.91139598,174.8152562,6.372265856470259
5:00 am,Fri,Burglary,Parnell East,2022-12-02,1,-36.854361,174.792489,6.372265856470259
10:00 pm,Fri,Theft,Dairy Flat-Redvale,2022-12-02,1,-36.65579732,174.661672,1.097174727330841
12:00 pm,Fri,Burglary,Wattle Farm,2022-12-02,1,-37.03759802,174.8968196,6.809552129459043
10:00 am,Fri,Theft,Dannemora,2022-12-02,1,-36.93171883,174.9128209,1.2429368183271023
4:00 am,Fri,Burglary,Warkworth,2022-12-02,1,-36.40619388,174.6492412,6.372265856470259
7:00 am,Fri,Theft,Takanini South,2022-12-02,1,-37.05368479,174.9285399,1.3284667679412177
11:00 pm,Fri,Burglary,Beachhaven South,2022-12-02,1,-36.80549856,174.692754,6.420853220135679
10:00 am,Fri,Theft,Remuera South,2022-12-02,1,-36.88966493,174.7940333,1.2429368183271023
3:00 pm,Fri,Theft,Mt Wellington South,2022-12-02,1,-36.92241994,174.8448872,1.9484577178749585
11:00 pm,Fri,Sexual Assault,Newton,2022-12-02,1,-36.85850938,174.7570689,7.092386452194461
12:00 pm,Fri,Theft,Hamlin,2022-12-02,1,-36.90931612,174.8374573,1.4372862729887843
6:00 am,Fri,Theft,Silverdale Central,2022-12-02,1,-36.63642339,174.6678234,1.0
5:00 am,Fri,Theft,Burswood,2022-12-02,1,-36.92379162,174.8932471,1.0
